FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,52706,471705201,학가산,산성리구간, ,0.98,쉬움,17,12, , , , , ,2016-12-31,2711204900
1,52707,471705201,학가산,우래리구간, ,4.12,쉬움,155,108, , , , , ,2016-12-31,2711204900
2,52708,471705201,학가산, , ,0.72,쉬움,15,11, , , , , ,2016-12-31,2711204900
3,52709,471705201,학가산, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,2711204900
4,52710,471705201,학가산, , ,0.29,중간,6,4, , , , , ,2016-12-31,2711204900
5,52711,471705201,학가산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2711204900
6,52712,471705201,학가산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2711204900
7,52713,471705201,학가산, , ,0.27,중간,5,3, , , , , ,2016-12-31,2711204900
8,52714,471705201,학가산, , ,0.18,중간,3,2, , , , , ,2016-12-31,2711204900
9,52715,471705201,학가산,신전리구간, ,3.02,쉬움,113,79, , , , , ,2016-12-31,2711204900
10,52716,471705201,학가산,신전리구간, ,1.84,쉬움,69,48, , , , , ,2016-12-31,2711204900
11,52717,471705201,학가산, , ,1.67,중간,63,44, , , , , ,2016-12-31,2711204900
12,52718,471705201,학가산,자품리구간, ,1.02,쉬움,18,13, , , , , ,2016-12-31,2711204900
13,52719,471705201,학가산,자품리구간, ,1.1,쉬움,19,14, , , , , ,2016-12-31,2711204900
14,52720,471705201,학가산,자품리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,2711204900
15,52721,471705201,학가산,자품리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,2711204900
16,52722,471705201,학가산, , ,1.79,쉬움,38,27, , , , , ,2016-12-31,2711204900
17,52723,471705201,학가산,자품리구간, ,1.7,쉬움,36,26, , , , , ,2016-12-31,2711204900
