FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,53446,421702304,한양아파트뒷산,평릉동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,421701701
1,53447,421702304,한양아파트뒷산,평릉동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,421701701
2,53448,421702304,한양아파트뒷산,천곡동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,421701701
3,53449,421702304,한양아파트뒷산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,421701701
4,53450,421702304,한양아파트뒷산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,421701701
5,53451,421702304,한양아파트뒷산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,421701701
6,53452,421702304,한양아파트뒷산,평릉동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,421701701
7,53453,421702304,한양아파트뒷산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,421701701
8,53454,421702304,한양아파트뒷산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,421701701
9,53455,421702304,한양아파트뒷산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,421701701
10,53456,421702304,한양아파트뒷산, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,421701701
