FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,53500,451400401,함라산,입점리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,451400401
1,53501,451400401,함라산,신대리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,451400401
2,53502,451400401,함라산,함열리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,451400401
3,53503,451400401,함라산,함열리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,451400401
4,53504,451400401,함라산,신대리구간, ,1.14,쉬움,21,15, , , , , ,2016-12-31,451400401
5,53505,451400401,함라산,웅포리구간, ,0.48,쉬움,9,6, , , , , ,2016-12-31,451400401
6,53506,451400401,함라산,웅포리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,451400401
7,53507,451400401,함라산,입점리구간, ,0.8,쉬움,14,10, , , , , ,2016-12-31,451400401
8,53508,451400401,함라산,금성리구간, ,1.11,쉬움,20,14, , , , , ,2016-12-31,451400401
9,53509,451400401,함라산,함열리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,451400401
10,53510,451400401,함라산,함열리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,451400401
11,53511,451400401,함라산,금성리구간, ,0.68,쉬움,13,9, , , , , ,2016-12-31,451400401
12,53512,451400401,함라산,함열리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,451400401
13,53513,451400401,함라산,웅포리구간, ,1.19,쉬움,21,15, , , , , ,2016-12-31,451400401
14,53514,451400401,함라산,함열리구간, ,0.63,쉬움,11,8, , , , , ,2016-12-31,451400401
15,53515,451400401,함라산,웅포리구간, ,1.09,쉬움,19,13, , , , , ,2016-12-31,451400401
16,53516,451400401,함라산,입점리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,451400401
17,53517,451400401,함라산,입점리구간, ,1.24,쉬움,22,15, , , , , ,2016-12-31,451400401
18,53518,451400401,함라산,입점리구간, ,3.98,쉬움,70,49, , , , , ,2016-12-31,451400401
19,53519,451400401,함라산,웅포리구간, ,1.22,쉬움,22,15, , , , , ,2016-12-31,451400401
20,53520,451400401,함라산,입점리구간, ,0.99,쉬움,17,12, , , , , ,2016-12-31,451400401
21,53521,451400401,함라산,신대리구간, ,0.14,중간,2,2, , , , , ,2016-12-31,451400401
22,53522,451400401,함라산,웅포리구간, ,0.13,중간,2,2, , , , , ,2016-12-31,451400401
23,53523,451400401,함라산,함열리구간, ,0.75,쉬움,13,9, , , , , ,2016-12-31,451400401
24,53524,451400401,함라산,함열리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,451400401
25,53525,451400401,함라산,송천리구간, ,3.39,쉬움,60,42, , , , , ,2016-12-31,451400401
26,53526,451400401,함라산,웅포리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,451400401
27,53527,451400401,함라산,웅포리구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,451400401
28,53528,451400401,함라산,함열리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,451400401
29,53529,451400401,함라산,함열리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,451400401
30,53530,451400401,함라산,함열리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,451400401
31,53531,451400401,함라산,금성리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,451400401
32,53532,451400401,함라산,함열리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,451400401
33,53533,451400401,함라산,함열리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,451400401
