FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,53534,451400203,함라산둘레길,웅포면송천리-웅포면성당리구간, ,1.18,쉬움,21,15,토사/암반, , , , ,2016-12-31,451400203
1,53535,451400203,함라산둘레길,함열리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,451400203
2,53536,451400203,함라산둘레길,웅포면입점리-웅포면웅포리구간, ,0.69,쉬움,12,9,토사/암반, , , , ,2016-12-31,451400203
3,53537,451400203,함라산둘레길,웅포면송천리-웅포면성당리구간, ,2.85,쉬움,50,35,토사/암반, , , , ,2016-12-31,451400203
4,53538,451400203,함라산둘레길,웅포면송천리-웅포면성당리구간, ,0.5,쉬움,9,6,토사/암반, , , , ,2016-12-31,451400203
5,53539,451400203,함라산둘레길,웅포면송천리-웅포면성당리구간, ,0.65,쉬움,11,8,토사/암반, , , , ,2016-12-31,451400203
6,53540,451400203,함라산둘레길,웅포면송천리-웅포면성당리구간, ,0.43,쉬움,8,5,토사/암반, , , , ,2016-12-31,451400203
7,53541,451400203,함라산둘레길,웅포면송천리-웅포면성당리구간, ,1.5,쉬움,26,19,토사/암반, , , , ,2016-12-31,451400203
8,53542,451400203,함라산둘레길,웅포면송천리-웅포면성당리구간, ,0.24,쉬움,4,3,토사/암반, , , , ,2016-12-31,451400203
9,53543,451400203,함라산둘레길,입점리구간, ,1.46,쉬움,26,18, , , , , ,2016-12-31,451400203
10,53544,451400203,함라산둘레길,웅포면송천리-웅포면성당리구간, ,0.18,쉬움,3,2,토사/암반, , , , ,2016-12-31,451400203
11,53545,451400203,함라산둘레길,입점리구간, ,1.28,쉬움,23,16, , , , , ,2016-12-31,451400203
12,53546,451400203,함라산둘레길,함열리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,451400203
13,53547,451400203,함라산둘레길,함열리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,451400203
14,53548,451400203,함라산둘레길,함열리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,451400203
15,53549,451400203,함라산둘레길,신대리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,451400203
16,53550,451400203,함라산둘레길,신등리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,451400203
17,53551,451400203,함라산둘레길,신등리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,451400203
18,53552,451400203,함라산둘레길,신등리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,451400203
19,53553,451400203,함라산둘레길,웅포면입점리-웅포면웅포리구간, ,0.08,쉬움,1,1,토사/암반, , , , ,2016-12-31,451400203
20,53554,451400203,함라산둘레길,웅포리구간, ,0.08,중간,1,1, , , , , ,2016-12-31,451400203
21,53555,451400203,함라산둘레길,웅포면송천리-웅포면성당리구간, ,0.05,쉬움,1,1,토사/암반, , , , ,2016-12-31,451400203
22,53556,451400203,함라산둘레길,웅포면송천리-웅포면성당리구간, ,0.05,중간,1,1,토사/암반, , , , ,2016-12-31,451400203
23,53557,451400203,함라산둘레길,웅포면송천리-웅포면성당리구간, ,0.91,쉬움,16,11,토사/암반, , , , ,2016-12-31,451400203
24,53558,451400203,함라산둘레길,웅포리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,451400203
25,53559,451400203,함라산둘레길,입점리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,451400203
26,53560,451400203,함라산둘레길,신대리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,451400203
27,53561,451400203,함라산둘레길,함열리구간, ,0.91,쉬움,16,11, , , , , ,2016-12-31,451400203
