FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,54032,482705401,향로산, , ,0.64,쉬움,11,8, , , , , ,2016-12-31,482705401
1,54033,482705401,향로산, , ,0.7,쉬움,12,9, , , , , ,2016-12-31,482705401
2,54034,482705401,향로산,구천리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,482705401
3,54035,482705401,향로산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,482705401
4,54036,482705401,향로산, , ,0.95,쉬움,17,12, , , , , ,2016-12-31,482705401
5,54037,482705401,향로산,구천리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,482705401
6,54038,482705401,향로산,구천리구간, ,0.86,쉬움,15,11, , , , , ,2016-12-31,482705401
7,54039,482705401,향로산, , ,2.65,쉬움,47,33, , , , , ,2016-12-31,482705401
8,54040,482705401,향로산,범도리구간, ,1.99,쉬움,35,25, , , , , ,2016-12-31,482705401
9,54041,482705401,향로산,구천리구간, ,1.59,쉬움,40,28, , , , , ,2016-12-31,482705401
10,54042,482705401,향로산,구천리구간, ,2.08,쉬움,37,26, , , , , ,2016-12-31,482705401
11,54043,482705401,향로산,구천리구간, ,3.17,쉬움,56,39, , , , , ,2016-12-31,482705401
12,54044,482705401,향로산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,482705401
13,54045,482705401,향로산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,482705401
14,54046,482705401,향로산,구천리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,482705401
15,54047,482705401,향로산,구천리구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,482705401
16,54048,482705401,향로산,구천리구간, ,1.75,쉬움,31,22, , , , , ,2016-12-31,2807064700
17,54049,482705401,향로산,구천리구간, ,3.69,쉬움,65,46, , , , , ,2016-12-31,2807064700
18,54050,482705401,향로산,구천리구간, ,1.25,쉬움,22,15, , , , , ,2016-12-31,2807064700
19,54051,482705401,향로산, , ,0.86,쉬움,15,11, , , , , ,2016-12-31,2807064700
20,54052,482705401,향로산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2807064700
21,54053,482705401,향로산,구천리구간, ,2.05,쉬움,36,25, , , , , ,2016-12-31,2807064700
22,54054,482705401,향로산,구천리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,2807064700
23,54055,482705401,향로산,범도리구간, ,1.65,쉬움,29,20, , , , , ,2016-12-31,482705401
24,54056,482705401,향로산, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,2807064700
25,54057,482705401,향로산,구천리구간, ,1.32,쉬움,23,16, , , , , ,2016-12-31,2807064700
26,54058,482705401,향로산,구천리구간, ,0.99,쉬움,17,12, , , , , ,2016-12-31,2807064700
27,54059,482705401,향로산,구천리구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,2807064700
