FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,54062,414604801,향수산,유운리구간, ,6.08,쉬움,107,75, , , , , ,2016-12-31,414612901
1,54063,414604801,향수산, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,414612901
2,54064,414604801,향수산, , ,0.59,쉬움,10,7, , , , , ,2016-12-31,414612901
3,54065,414604801,향수산,신원리구간, ,1.89,쉬움,33,23, , , , , ,2016-12-31,414612901
4,54066,414604801,향수산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,414612901
5,54067,414604801,향수산, , ,0.59,쉬움,10,7, , , , , ,2016-12-31,414612901
6,54068,414604801,향수산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,414612901
7,54069,414604801,향수산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,414612901
8,54070,414604801,향수산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,414612901
9,54071,414604801,향수산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,414612901
10,54072,414604801,향수산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,414612901
11,54073,414604801,향수산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,414612901
12,54074,414604801,향수산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,414612901
13,54075,414604801,향수산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,414612901
14,54076,414604801,향수산,동림리구간, ,0.67,쉬움,13,9, , , , , ,2016-12-31,414612901
15,54077,414604801,향수산, , ,0.92,쉬움,16,11, , , , , ,2016-12-31,414612901
16,54078,414604801,향수산,매산리구간, ,0.75,쉬움,13,9, , , , , ,2016-12-31,414612901
17,54079,414604801,향수산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,414612901
18,54080,414604801,향수산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,414612901
19,54081,414604801,향수산,동림리구간, ,0.59,쉬움,10,7, , , , , ,2016-12-31,414612901
20,54082,414604801,향수산,매산리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,414612901
21,54083,414604801,향수산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,414612901
22,54084,414604801,향수산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,414612901
23,54085,414604801,향수산,동림리구간, ,0.63,쉬움,11,8, , , , , ,2016-12-31,414612901
24,54086,414604801,향수산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,416102801
25,54087,414604801,향수산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,416102801
26,54088,414604801,향수산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,416102801
27,54089,414604801,향수산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,416102801
28,54090,414604801,향수산,문형리구간, ,0.65,쉬움,11,8, , , , , ,2016-12-31,416102801
29,54091,414604801,향수산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,416102801
30,54092,414604801,향수산,문형리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,416102801
31,54093,414604801,향수산,문형리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,416102801
32,54094,414604801,향수산, , ,0.87,쉬움,15,11, , , , , ,2016-12-31,414612901
33,54095,414604801,향수산,매산리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,414612901
34,54096,414604801,향수산, , ,0.86,쉬움,15,11, , , , , ,2016-12-31,414612901
35,54097,414604801,향수산,동림리구간, ,1.11,쉬움,20,14, , , , , ,2016-12-31,414612901
36,54098,414604801,향수산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,416102801
37,54099,414604801,향수산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,414612901
38,54100,414604801,향수산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,414612901
39,54101,414604801,향수산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,416102801
40,54102,414604801,향수산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,414612901
41,54103,414604801,향수산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,416102801
42,54104,414604801,향수산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,414612901
