FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,54106,442500501,향적산,향한리구간, ,0.66,쉬움,12,8, , , , , ,2016-12-31,2401030500
1,54107,442500501,향적산,향한리구간, ,1.12,쉬움,20,14, , , , , ,2016-12-31,2401030500
2,54108,442500501,향적산, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,2401030500
3,54109,442500501,향적산, , ,1.12,쉬움,20,14, , , , , ,2016-12-31,2401030500
4,54110,442500501,향적산,엄사리구간, ,0.66,쉬움,12,8, , , , , ,2016-12-31,2401030500
5,54111,442500501,향적산,엄사리구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,2401030500
6,54112,442500501,향적산,향한리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,2401030500
7,54113,442500501,향적산,향한리구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,2401030500
8,54114,442500501,향적산,향한리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,2401030500
9,54115,442500501,향적산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2401030500
10,54116,442500501,향적산,향한리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,2401030500
11,54117,442500501,향적산,향한리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,2401030500
12,54118,442500501,향적산,향한리구간, ,0.0,쉬움,1,0, , , , , ,2016-12-31,2401030500
13,54119,442500501,향적산,향한리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,2401030500
14,54120,442500501,향적산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2401030500
15,54121,442500501,향적산,향한리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,2401030500
16,54122,442500501,향적산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,2401030500
17,54123,442500501,향적산,정장리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,2401030500
18,54124,442500501,향적산,정장리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,2401030500
19,54125,442500501,향적산,향한리구간, ,0.61,쉬움,11,8, , , , , ,2016-12-31,2401030500
20,54126,442500501,향적산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2401030500
21,54127,442500501,향적산, , ,0.64,쉬움,11,8, , , , , ,2016-12-31,2401030500
22,54128,442500501,향적산,엄사리구간, ,1.02,쉬움,18,13, , , , , ,2016-12-31,2401030500
23,54129,442500501,향적산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2401030500
24,54130,442500501,향적산,도곡리구간, ,1.03,쉬움,22,15, , , , , ,2016-12-31,2401030500
25,54131,442500501,향적산, , ,1.6,쉬움,28,20, , , , , ,2016-12-31,2401030500
26,54132,442500501,향적산,도곡리구간, ,0.89,쉬움,17,12, , , , , ,2016-12-31,2401030500
27,54133,442500501,향적산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2401030500
28,54134,442500501,향적산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2401030500
29,54135,442500501,향적산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2401030500
30,54136,442500501,향적산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2401030500
31,54137,442500501,향적산, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,2401030500
32,54138,442500501,향적산, , ,1.0,쉬움,18,12, , , , , ,2016-12-31,2401030500
33,54139,442500501,향적산,도곡리구간, ,2.62,쉬움,46,32, , ,Y, , ,2016-12-31,2401030500
34,54140,442500501,향적산,도곡리구간, ,0.8,쉬움,14,10, , , , , ,2016-12-31,2401030500
35,54141,442500501,향적산, , ,1.55,쉬움,27,19, , , , , ,2016-12-31,2401030500
36,54142,442500501,향적산,향한리구간, ,1.06,쉬움,19,13, , , , , ,2016-12-31,2401030500
37,54143,442500501,향적산,향한리구간, ,1.12,쉬움,20,14, , , , , ,2016-12-31,2401030500
38,54144,442500501,향적산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2401030500
