FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,54462,115450101,호암산,독산초등학교옆-천록빌라구간, ,0.69,쉬움,12,9,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
1,54463,115450101,호암산,호암산림욕장위-벽산508동앞구간, ,0.3,쉬움,5,4,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
2,54464,115450101,호암산,시흥동구간, ,0.18,쉬움,3,2,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
3,54465,115450101,호암산,호암산문좌측-호암약수구간, ,0.29,쉬움,5,4,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
4,54466,115450101,호암산,시흥동구간, ,0.12,쉬움,2,1,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
5,54467,115450101,호암산,금산초등학교옆구간, ,0.31,쉬움,5,4,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
6,54468,115450101,호암산,불로천약수터좌측-자연유아학교능선위구간, ,0.05,쉬움,1,1,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
7,54469,115450101,호암산,관악구민방위교육장위-미성중학교구간, ,0.16,쉬움,3,2,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
8,54470,115450101,호암산,문교초등학고옆-금천배드민턴장아래구간, ,0.61,쉬움,11,8,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
9,54471,115450101,호암산,벽산101동건너편돌계단구간, ,0.45,쉬움,8,6,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
10,54472,115450101,호암산,벽산3단지건너편돌계단왼쪽-구현대다리앞구간, ,0.27,쉬움,5,3,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
11,54473,115450101,호암산,자연유치원구간, ,0.38,쉬움,7,5,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
12,54474,115450101,호암산,별장빌라구간, ,0.04,쉬움,1,0,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
13,54475,115450101,호암산,신림동구간, ,0.04,쉬움,1,0,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
14,54476,115450101,호암산,시흥계곡구간, ,0.05,쉬움,1,1,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
15,54477,115450101,호암산,독산동구간, ,0.04,쉬움,1,0,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
16,54478,115450101,호암산,단군공원구간, ,0.68,쉬움,12,8,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
17,54479,115450101,호암산,금산초등학교뒷산-자연유치원능선구간, ,0.11,쉬움,2,1,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
18,54480,115450101,호암산,금산초등학교뒷산-자연유치원능선구간, ,0.05,쉬움,1,1,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
19,54481,115450101,호암산,독산자연공원우측수로길-정심초등학교철조망위구간, ,0.5,쉬움,9,6,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
20,54482,115450101,호암산,아카시아배드민턴장위-금천체육공원입구구간, ,0.16,쉬움,3,2,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
21,54483,115450101,호암산,구현대아파트구간, ,0.11,쉬움,2,1,토사, , ,"암석노출,바위노출", ,2016-12-31,115450101
