FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,55216,467903901,화학산,우치리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,467903901
1,55217,467903901,화학산,이만리구간, ,1.63,쉬움,29,20, , , , , ,2016-12-31,467903901
2,55218,467903901,화학산,우치리구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,467903901
3,55219,467903901,화학산,우치리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,467903901
4,55220,467903901,화학산,우치리구간, ,1.1,쉬움,19,14, , , , , ,2016-12-31,467903901
5,55221,467903901,화학산,우치리구간, ,1.92,쉬움,34,24, , , , , ,2016-12-31,467903901
6,55222,467903901,화학산,이만리구간, ,1.7,쉬움,32,22, , , , , ,2016-12-31,467903901
7,55223,467903901,화학산,청용리구간, ,2.05,쉬움,38,27, , , , , ,2016-12-31,467903901
8,55224,467903901,화학산,우치리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,467903901
9,55225,467903901,화학산,우치리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,467903901
10,55226,467903901,화학산,우치리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,467903901
11,55227,467903901,화학산,백운리구간, ,5.92,쉬움,104,73, , , , , ,2016-12-31,467903901
12,55228,467903901,화학산,청용리구간, ,2.05,쉬움,62,43, , , , , ,2016-12-31,467903901
13,55229,467903901,화학산,청용리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,467903901
14,55230,467903901,화학산,백운리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,467903901
