FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,56445,412801801,황룡산,성락교회 옆 보조등산로-고봉로 금정굴 입구구간,금정굴,0.14,쉬움,2,2,토사, , , , ,2016-12-31,412801801
1,56446,412801801,황룡산,성락교회 등산로-성락교회 등산로 분기점구간, ,0.36,쉬움,6,4,토사, , , , ,2016-12-31,412801801
2,56447,412801801,황룡산,성락교회 등산로-성락교회 등산로 분기점구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,412801801
3,56448,412801801,황룡산,성락교회 옆 보조등산로-고봉로 금정굴 입구구간, ,0.23,쉬움,4,3,토사, , , , ,2016-12-31,412801801
4,56449,412801801,황룡산,성락교회 등산로-성락교회 등산로 분기점구간, ,0.2,쉬움,4,2,토사, , , , ,2016-12-31,412801801
5,56450,412801801,황룡산,성락교회 옆 보조등산로-고봉로 금정굴 입구구간, ,0.52,쉬움,9,6,토사, , , , ,2016-12-31,412801801
6,56451,412801801,황룡산,성락교회 옆 보조등산로-고봉로 금정굴 입구구간, ,0.09,쉬움,2,1,토사, , , , ,2016-12-31,412801801
7,56452,412801801,황룡산,성락교회 등산로-성락교회 등산로 분기점구간, ,0.23,쉬움,4,3,토사, , , , ,2016-12-31,412801801
8,56453,412801801,황룡산,성락교회 등산로-성락교회 등산로 분기점구간, ,0.15,쉬움,3,2,토사, , , , ,2016-12-31,412801801
9,56454,412801801,황룡산,성락교회 등산로-성락교회 등산로 분기점구간, ,0.16,쉬움,3,2,토사, , , , ,2016-12-31,412801801
10,56455,412801801,황룡산,성락교회 등산로-성락교회 등산로 분기점구간, ,0.29,쉬움,5,4,토사, , , , ,2016-12-31,412801801
11,56456,412801801,황룡산,성락교회 옆 보조등산로-고봉로 금정굴 입구구간, ,0.31,쉬움,5,4,토사, , , , ,2016-12-31,412801801
12,56457,412801801,황룡산,군사시설 철조망 3거리-황룡산 정상부근 군사시설구간, ,1.19,쉬움,21,15,토사, , , , ,2016-12-31,412801801
13,56458,412801801,황룡산,성락교회 등산로-성락교회 등산로 분기점구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,412801801
14,56459,412801801,황룡산,성락교회 등산로-성락교회 등산로 분기점구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,412801801
15,56460,412801801,황룡산,성락교회 옆 보조등산로-고봉로 금정굴 입구구간, ,0.13,쉬움,2,2,토사, , , , ,2016-12-31,412801801
16,56461,412801801,황룡산,성락교회 등산로-성락교회 등산로 분기점구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,412801801
17,56462,412801801,황룡산,성락교회 등산로-성락교회 등산로 분기점구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,412801801
18,56463,412801801,황룡산,성락교회 등산로-성락교회 등산로 분기점구간, ,0.12,쉬움,2,1,토사, , , , ,2016-12-31,412801801
19,56464,412801801,황룡산,성락교회 등산로-성락교회 등산로 분기점구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,412801801
20,56465,412801801,황룡산,성락교회 등산로-성락교회 등산로 분기점구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,412801801
21,56466,412801801,황룡산,성락교회 옆 보조등산로-고봉로 금정굴 입구구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,412801801
22,56467,412801801,황룡산,등산로 체육시설 분기점-벽진이씨 유허비구간, ,0.12,쉬움,2,1,토사, , , , ,2016-12-31,412801801
23,56468,412801801,황룡산,성락교회 옆 보조등산로-고봉로 금정굴 입구구간, ,0.16,쉬움,3,2,토사, , , , ,2016-12-31,412801801
24,56469,412801801,황룡산,등산로 체육시설 분기점-벽진이씨 유허비구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,412801801
25,56470,412801801,황룡산,성락교회 옆 보조등산로-고봉로 금정굴 입구구간, ,0.13,쉬움,2,2,토사, , , , ,2016-12-31,412801801
26,56471,412801801,황룡산,등산로 체육시설 분기점-벽진이씨 유허비구간, ,0.34,쉬움,6,4,토사, , , , ,2016-12-31,412801801
27,56472,412801801,황룡산,성락교회 옆 보조등산로-고봉로 금정굴 입구구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,412801801
