FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,6378,422100101,국사봉, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,422100101
1,6379,422100101,국사봉, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,422100101
2,6380,422100101,국사봉,교동등산로, ,0.35,쉬움,6,4, , , , , ,2016-12-31,422100101
3,6381,422100101,국사봉,교동등산로, ,0.2,쉬움,4,2, , , , , ,2016-12-31,422100101
4,6382,422100101,국사봉, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,422100101
5,6383,422100101,국사봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,422100101
6,6384,422100101,국사봉, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,422100101
7,6385,422100101,국사봉, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,422100101
8,6386,422100101,국사봉, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,422100101
9,6387,422100101,국사봉, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,422100101
10,6388,422100101,국사봉, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,422100101
11,6389,422100101,국사봉, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,422100101
12,6390,422100101,국사봉, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,422100101
13,6391,422100101,국사봉, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,422100101
14,6392,422100101,국사봉, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,422100101
15,6393,422100101,국사봉, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,422100101
16,6394,422100101,국사봉,장사동구간, ,0.45,쉬움,8,6, , ,Y, , ,2016-12-31,422100101
17,6395,422100101,국사봉, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,422100101
18,6396,422100101,국사봉,장사동구간, ,0.42,쉬움,7,5, , ,Y, , ,2016-12-31,422100101
19,6397,422100101,국사봉, , ,0.06,쉬움,1,1, , ,Y, , ,2016-12-31,422100101
20,6398,422100101,국사봉, , ,0.13,쉬움,2,2, , ,Y, , ,2016-12-31,422100101
21,6399,422100101,국사봉,장사동구간, ,0.51,쉬움,9,6, , ,Y, , ,2016-12-31,422100101
22,6400,422100101,국사봉,장사동구간, ,0.11,쉬움,2,1, , ,Y, , ,2016-12-31,422100101
23,6401,422100101,국사봉,장사동구간, ,0.26,쉬움,5,3, , ,Y, , ,2016-12-31,422100101
24,6402,422100101,국사봉, , ,0.66,쉬움,12,8, , ,Y, , ,2016-12-31,422100101
25,6403,422100101,국사봉,장사동구간, ,0.17,쉬움,3,2, , ,Y, , ,2016-12-31,422100101
26,6404,422100101,국사봉, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,422100101
27,6405,422100101,국사봉,장사동구간, ,0.05,쉬움,1,1, , ,Y, , ,2016-12-31,422100101
28,6406,422100101,국사봉,장사동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,422100101
29,6407,422100101,국사봉, , ,0.16,쉬움,3,2, , ,Y, , ,2016-12-31,422100101
30,6408,422100101,국사봉, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,422100101
31,6409,422100101,국사봉, , ,0.26,쉬움,5,3, , ,Y, , ,2016-12-31,422100101
32,6410,422100101,국사봉, , ,0.23,쉬움,4,3, , ,Y, , ,2016-12-31,422100101
33,6411,422100101,국사봉, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,422100101
34,6412,422100101,국사봉,장사동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,422100101
35,6413,422100101,국사봉, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,422100101
36,6414,422100101,국사봉, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,422100101
37,6415,422100101,국사봉, , ,0.18,쉬움,3,2, , ,Y, , ,2016-12-31,422100101
38,6416,422100101,국사봉, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,422100101
39,6417,422100101,국사봉,장사동구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,422100101
40,6418,422100101,국사봉, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,428200701
41,6419,422100101,국사봉,용촌리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,428200701
42,6420,422100101,국사봉,용촌리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,428200701
43,6421,422100101,국사봉, , ,0.06,쉬움,1,1, , ,Y, , ,2016-12-31,428200701
44,6422,422100101,국사봉,성천리구간, ,0.22,쉬움,4,3, , ,Y, , ,2016-12-31,428200701
45,6423,422100101,국사봉,용촌리구간, ,1.17,쉬움,21,14, , , , , ,2016-12-31,428200701
46,6424,422100101,국사봉, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,422100101
47,6425,422100101,국사봉,성천리구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,428200701
