FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,9172,477600103,낙동정맥,봉계리구간,한티재~블랫재~운주산~이리재~도덕산~521.5봉,4.72,쉬움,177,124, , , , , ,2016-12-31,471130101
1,9173,477600103,낙동정맥, , ,30.24,쉬움,534,374, , , , , ,2016-12-31,471130101
2,9174,477600103,낙동정맥,성법리구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,471130101
3,9175,477600103,낙동정맥,수성리구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,472300501
4,9176,477600103,낙동정맥, , ,23.01,쉬움,406,284, , , , , ,2016-12-31,472300501
5,9177,477600103,낙동정맥, , ,5.01,쉬움,88,62, , , , , ,2016-12-31,477500701
6,9178,477600103,낙동정맥, , ,4.79,쉬움,85,59, , , , , ,2016-12-31,477500701
7,9179,477600103,낙동정맥, , ,2.06,쉬움,77,54, , , , , ,2016-12-31,477500701
8,9180,477600103,낙동정맥, , ,20.87,쉬움,368,258, , , , , ,2016-12-31,477500701
9,9181,477600103,낙동정맥,포산리구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,477600401
10,9182,477600103,낙동정맥, , ,0.86,쉬움,15,11, , , , , ,2016-12-31,477600401
11,9183,477600103,낙동정맥,포산리구간, ,0.69,쉬움,13,9, , , , , ,2016-12-31,477600401
12,9184,477600103,낙동정맥, , ,1.5,쉬움,26,19, , , , , ,2016-12-31,477600401
13,9185,477600103,낙동정맥, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,477600401
14,9186,477600103,낙동정맥, , ,1.16,쉬움,20,14, , , , , ,2016-12-31,477600401
15,9187,477600103,낙동정맥, , ,29.95,쉬움,529,370, , , , , ,2016-12-31,477600401
16,9188,477600103,낙동정맥, , ,1.27,쉬움,22,16, , , , , ,2016-12-31,477600401
17,9189,477600103,낙동정맥, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,477600401
18,9190,477600103,낙동정맥,삼의리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,477600401
19,9191,477600103,낙동정맥, , ,2.97,쉬움,52,37, , , , , ,2016-12-31,477600401
20,9192,477600103,낙동정맥, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,477600401
21,9193,477600103,낙동정맥, , ,3.23,쉬움,57,40, , , , , ,2016-12-31,477600401
22,9194,477600103,낙동정맥, , ,4.75,쉬움,84,59, , , , , ,2016-12-31,477600401
23,9195,477600103,낙동정맥, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,477600401
24,9196,477600103,낙동정맥,죽파리구간, ,3.05,쉬움,54,38, , , , , ,2016-12-31,477600401
25,9197,477600103,낙동정맥, , ,9.37,쉬움,165,116, , , , , ,2016-12-31,477600401
26,9198,477600103,낙동정맥,가천리구간, ,3.55,쉬움,63,44, , , , , ,2016-12-31,477600401
27,9199,477600103,낙동정맥,오기리구간, ,0.98,쉬움,17,12, , , , , ,2016-12-31,477600401
28,9200,477600103,낙동정맥, , ,9.15,쉬움,161,113, , , , , ,2016-12-31,477600401
29,9201,477600103,낙동정맥, , ,5.78,쉬움,102,71, , , , , ,2016-12-31,477600401
30,9202,477600103,낙동정맥,오기리구간, ,1.46,쉬움,26,18, , , , , ,2016-12-31,477600401
31,9203,477600103,낙동정맥,본신리구간, ,5.96,쉬움,105,74, , , , , ,2016-12-31,477600401
32,9204,477600103,낙동정맥,신원리구간, ,9.34,쉬움,165,115, , , , , ,2016-12-31,477600401
33,9205,477600103,낙동정맥,발리리구간, ,1.99,쉬움,35,25, , , , , ,2016-12-31,477600401
34,9206,477600103,낙동정맥,계리구간, ,3.57,쉬움,63,44, , , , , ,2016-12-31,477600401
35,9207,477600103,낙동정맥, , ,9.9,쉬움,175,122, , , , , ,2016-12-31,477600401
36,9208,477600103,낙동정맥,신암리구간, ,6.92,쉬움,148,104, , , , , ,2016-12-31,477600401
37,9209,477600103,낙동정맥,신암리구간, ,1.96,쉬움,35,24, , , , , ,2016-12-31,477600401
38,9210,477600103,낙동정맥,봉산리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,477700601
39,9211,477600103,낙동정맥,덕산리구간, ,1.02,중간,38,27, , , , , ,2016-12-31,477700601
40,9212,477600103,낙동정맥, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,477700601
41,9213,477600103,낙동정맥, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,477700601
42,9214,477600103,낙동정맥, , ,2.11,쉬움,37,26, , , , , ,2016-12-31,477700601
43,9215,477600103,낙동정맥,용전리구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,477700601
44,9216,477600103,낙동정맥,용전리구간, ,1.3,쉬움,23,16, , , , , ,2016-12-31,477700601
45,9217,477600103,낙동정맥,속곡리구간, ,1.31,쉬움,23,16, , , , , ,2016-12-31,477700601
46,9218,477600103,낙동정맥,보림리구간, ,6.53,쉬움,245,171, , , , , ,2016-12-31,477700601
47,9219,477600103,낙동정맥, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,479300501
48,9220,477600103,낙동정맥,온정리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,479300501
