FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,12612,437302801,도덕봉,백운리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,437302801
1,12613,437302801,도덕봉,장연리구간, ,1.44,쉬움,25,18, , , , , ,2016-12-31,437302801
2,12614,437302801,도덕봉,하서리구간, ,0.8,쉬움,15,11, , , , , ,2016-12-31,437302801
3,12615,437302801,도덕봉,하서리구간, ,0.64,쉬움,12,8, , , , , ,2016-12-31,437302801
4,12616,437302801,도덕봉,하서리구간, ,1.95,쉬움,34,24, , , , , ,2016-12-31,437302801
5,12617,437302801,도덕봉,하서리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,437302801
6,12618,437302801,도덕봉,백운리구간, ,0.98,쉬움,17,12, , , , , ,2016-12-31,437302801
7,12619,437302801,도덕봉,백운리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,437302801
8,12620,437302801,도덕봉,백운리구간, ,2.11,쉬움,37,26, , , , , ,2016-12-31,437302801
9,12621,437302801,도덕봉,장연리구간, ,2.59,쉬움,46,32, , , , , ,2016-12-31,437302801
10,12622,437302801,도덕봉,백운리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,437302801
11,12623,437302801,도덕봉,백운리구간, ,2.75,쉬움,49,34, , , , , ,2016-12-31,437302801
12,12624,437302801,도덕봉,백운리구간, ,4.08,쉬움,72,50, , , , , ,2016-12-31,437302801
