FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,15370,422100404,만리공원, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,422100601
1,15371,422100404,만리공원, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,422100601
2,15372,422100404,만리공원,교동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,422100601
3,15373,422100404,만리공원, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,422100601
4,15374,422100404,만리공원,교동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,422100601
5,15375,422100404,만리공원,교동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,422100601
6,15376,422100404,만리공원, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,422100601
7,15377,422100404,만리공원, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,422100601
8,15378,422100404,만리공원,교동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,422100601
9,15379,422100404,만리공원,교동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,422100601
