FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,19978,421701804,발한동,발한동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,421700401
1,19979,421701804,발한동,발한동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,421700401
2,19980,421701804,발한동,발한동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,421700401
3,19981,421701804,발한동, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,421700401
4,19982,421701804,발한동, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,421700401
5,19983,421701804,발한동, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,421700401
6,19984,421701804,발한동, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,421700401
7,19985,421701804,발한동, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,421700401
8,19986,421701804,발한동,발한동구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,421700401
9,19987,421701804,발한동, , ,0.47,쉬움,8,6, , , , , ,2016-12-31,421700401
10,19988,421701804,발한동, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,421700401
11,19989,421701804,발한동, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,421700401
12,19990,421701804,발한동, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,421700401
13,19991,421701804,발한동, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,421700401
14,19992,421701804,발한동, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,421700401
15,19993,421701804,발한동, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,421700401
16,19994,421701804,발한동,발한동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,421700401
17,19995,421701804,발한동, , ,1.07,쉬움,19,13, , , , , ,2016-12-31,421700401
