FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,29918,461100501,삼학도,삼학사-일흥조선구간, ,0.14,쉬움,2,2,암반/토사, , , , ,2016-12-31,461100501
1,29919,461100501,삼학도,대학삼도구간, ,0.1,쉬움,2,1,암반/토사, , , , ,2016-12-31,461100501
2,29920,461100501,삼학도,대학삼도-삼학장 옆 주유소구간, ,0.07,중간,1,1,암반/토사, , , , ,2016-12-31,461100501
3,29921,461100501,삼학도,대학삼도-이난영 공원구간, ,0.13,쉬움,2,2,암반/토사, , , , ,2016-12-31,461100501
4,29922,461100501,삼학도,일흥 조선와 한국제분 사이-대학삼도구간, ,0.1,중간,2,1,암반/토사, , , , ,2016-12-31,461100501
5,29923,461100501,삼학도,대학삼도구간, ,0.06,쉬움,1,1,암반/토사, , , , ,2016-12-31,461100501
6,29924,461100501,삼학도,대학삼도-갤러리아웨딩문화원구간, ,0.04,쉬움,1,0,암반/토사, ,Y, , ,2016-12-31,461100501
7,29925,461100501,삼학도,삼학사-일흥조선구간, ,0.14,쉬움,2,2,암반/토사, , , , ,2016-12-31,461100501
8,29926,461100501,삼학도,대학삼도구간, ,0.02,쉬움,1,0,암반/토사, , , , ,2016-12-31,461100501
9,29927,461100501,삼학도,대학삼도구간, ,0.34,쉬움,6,4,암반/토사, , , , ,2016-12-31,461100501
10,29928,461100501,삼학도,대학삼도구간, ,0.08,쉬움,1,1,암반/토사, , , , ,2016-12-31,461100501
11,29929,461100501,삼학도,삼학사-일흥조선구간, ,0.06,쉬움,1,1,암반/토사, , , , ,2016-12-31,461100501
12,29930,461100501,삼학도,삼학사-일흥조선구간, ,0.08,쉬움,1,1,암반/토사, , , , ,2016-12-31,461100501
13,29931,461100501,삼학도,삼학사-일흥조선구간, ,0.07,쉬움,1,1,암반/토사, , , , ,2016-12-31,461100501
14,29932,461100501,삼학도,삼학사-일흥조선구간, ,0.22,쉬움,4,3,암반/토사, , , , ,2016-12-31,461100501
