FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,29971,416701801,삿갓봉,간매리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,416701801
1,29972,416701801,삿갓봉,걸은리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,416701801
2,29973,416701801,삿갓봉,운촌리구간, ,1.51,쉬움,27,19, , , , , ,2016-12-31,416701801
3,29974,416701801,삿갓봉,걸은리구간, ,1.27,쉬움,32,22, , , , , ,2016-12-31,416701801
4,29975,416701801,삿갓봉,걸은리구간, ,0.61,쉬움,13,9, , , , , ,2016-12-31,416701801
5,29976,416701801,삿갓봉,걸은리구간, ,0.68,쉬움,12,8, , , , , ,2016-12-31,416701801
6,29977,416701801,삿갓봉,걸은리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,416701801
7,29978,416701801,삿갓봉,걸은리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,416701801
8,29979,416701801,삿갓봉,부평리구간, ,1.19,쉬움,26,18, , , , , ,2016-12-31,416701801
9,29980,416701801,삿갓봉,걸은리구간, ,1.24,쉬움,22,15, , , , , ,2016-12-31,416701801
10,29981,416701801,삿갓봉,간매리구간, ,0.75,쉬움,13,9, , , , , ,2016-12-31,416701801
11,29982,416701801,삿갓봉,간매리구간, ,0.91,쉬움,16,11, , , , , ,2016-12-31,416701801
12,29983,416701801,삿갓봉,간매리구간, ,1.11,쉬움,20,14, , , , , ,2016-12-31,416701801
13,29984,416701801,삿갓봉,부평리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,416701801
14,29985,416701801,삿갓봉,간매리구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,416701801
15,29986,416701801,삿갓봉,간매리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,416701801
16,29987,416701801,삿갓봉,간매리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,416701801
17,29988,416701801,삿갓봉,부평리구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,416701801
18,29989,416701801,삿갓봉,부평리구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,416701801
19,29990,416701801,삿갓봉,부평리구간, ,1.9,쉬움,34,23, , , , , ,2016-12-31,416701801
20,29991,416701801,삿갓봉,걸은리구간, ,0.69,쉬움,12,9, , , , , ,2016-12-31,416701801
21,29992,416701801,삿갓봉,걸은리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,416701801
22,29993,416701801,삿갓봉,걸은리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,416701801
23,29994,416701801,삿갓봉,걸은리구간, ,0.87,쉬움,15,11, , , , , ,2016-12-31,416701801
24,29995,416701801,삿갓봉,걸은리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,416701801
25,29996,416701801,삿갓봉,걸은리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,416701801
26,29997,416701801,삿갓봉,부평리구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,416701801
27,29998,416701801,삿갓봉,부평리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,416701801
28,29999,416701801,삿갓봉,간매리구간, ,0.88,쉬움,16,11, , , , , ,2016-12-31,416701801
29,30000,416701801,삿갓봉,간매리구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,416701801
30,30001,416701801,삿갓봉,간매리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,416701801
31,30002,416701801,삿갓봉,부평리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,416701801
32,30003,416701801,삿갓봉,간매리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,416701801
33,30004,416701801,삿갓봉,간매리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,416701801
34,30005,416701801,삿갓봉,간매리구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,416701801
35,30006,416701801,삿갓봉,간매리구간, ,2.43,쉬움,43,30, , , , , ,2016-12-31,416701801
36,30007,416701801,삿갓봉,걸은리구간, ,1.68,쉬움,30,21, , , , , ,2016-12-31,416701801
37,30008,416701801,삿갓봉,걸은리구간, ,0.59,쉬움,10,7, , , , , ,2016-12-31,416701801
38,30009,416701801,삿갓봉,걸은리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,416701801
39,30010,416701801,삿갓봉,걸은리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,416701801
40,30011,416701801,삿갓봉,걸은리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,416701801
41,30012,416701801,삿갓봉,걸은리구간, ,0.98,쉬움,17,12, , , , , ,2016-12-31,416701801
42,30013,416701801,삿갓봉,걸은리구간, ,0.85,쉬움,15,11, , , , , ,2016-12-31,416701801
43,30014,416701801,삿갓봉,걸은리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,416701801
44,30015,416701801,삿갓봉,걸은리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,416701801
45,30016,416701801,삿갓봉,걸은리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,416701801
46,30017,416701801,삿갓봉,부평리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,416701801
