FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,30410,461505201,새깃대봉,가곡동구간, ,0.18,중간,3,2, , , , , ,2016-12-31,461505201
1,30411,461505201,새깃대봉,석현동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,461505201
2,30412,461505201,새깃대봉,가곡동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,461505201
3,30413,461505201,새깃대봉,가곡동구간, ,0.56,쉬움,11,7, , , , , ,2016-12-31,461505201
4,30414,461505201,새깃대봉,가곡동구간, ,0.4,중간,8,5, , , , , ,2016-12-31,461505201
5,30415,461505201,새깃대봉,가곡동구간, ,0.62,쉬움,11,8, , , , , ,2016-12-31,461505201
6,30416,461505201,새깃대봉,가곡동구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,461505201
7,30417,461505201,새깃대봉,가곡동구간, ,0.44,쉬움,8,6, , , , , ,2016-12-31,461505201
8,30418,461505201,새깃대봉,석현동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,461505201
9,30419,461505201,새깃대봉,가곡동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,461505201
10,30420,461505201,새깃대봉,석현동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,461505201
11,30421,461505201,새깃대봉,석현동구간, ,1.19,쉬움,26,18, , , , , ,2016-12-31,461505201
12,30422,461505201,새깃대봉,석현동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,461505201
