FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,31843,491106104,섯알오름,상모리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,491106104
1,31844,491106104,섯알오름,상모리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,491106104
2,31845,491106104,섯알오름,상모리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,491106104
3,31846,491106104,섯알오름,상모리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,491106104
4,31847,491106104,섯알오름,상모리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,491106104
5,31848,491106104,섯알오름,상모리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,491106104
6,31849,491106104,섯알오름,상모리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,491106104
7,31850,491106104,섯알오름,상모리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,491106104
8,31851,491106104,섯알오름,상모리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,491106104
9,31852,491106104,섯알오름,상모리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,491106104
