FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,32762,421105601,소주봉, , ,2.78,쉬움,104,73, , , , , ,2016-12-31,2213044400
1,32763,421105601,소주봉,후동리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,2213044400
2,32764,421105601,소주봉, , ,1.98,쉬움,35,24, , , , , ,2016-12-31,2213044400
3,32765,421105601,소주봉, , ,2.46,쉬움,92,65, , , , , ,2016-12-31,2213044400
4,32766,421105601,소주봉,후동리구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,2213044400
5,32767,421105601,소주봉,창촌리구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,2213044400
6,32768,421105601,소주봉,가정리구간, ,1.74,쉬움,44,30, , , , , ,2016-12-31,2213044400
7,32769,421105601,소주봉,발산리구간, ,0.96,쉬움,24,17, , , , , ,2016-12-31,2213044400
8,32770,421105601,소주봉, , ,1.46,쉬움,26,18, , , , , ,2016-12-31,2213044400
9,32771,421105601,소주봉, , ,0.79,쉬움,14,10, , , , , ,2016-12-31,2213044400
10,32772,421105601,소주봉, , ,1.46,쉬움,26,18, , , , , ,2016-12-31,2213044400
11,32773,421105601,소주봉, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,2213044400
12,32774,421105601,소주봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2213044400
13,32775,421105601,소주봉, , ,0.99,쉬움,17,12, , , , , ,2016-12-31,2213044400
