FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,34460,113801104,신사근린공원,신사동구간, ,0.04,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
1,34461,113801104,신사근린공원,신사동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
2,34462,113801104,신사근린공원,신사동구간, ,0.08,쉬움,1,1,흙길, , , , ,2016-12-31,113801104
3,34463,113801104,신사근린공원,신사동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113801104
4,34464,113801104,신사근린공원,신사동구간, ,0.03,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
5,34465,113801104,신사근린공원,신사동구간,만남의쉼터,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113801104
6,34466,113801104,신사근린공원,신사동구간, ,0.11,쉬움,2,1,흙길, , , , ,2016-12-31,113801104
7,34467,113801104,신사근린공원,신사동구간, ,0.16,쉬움,3,2,흙길, , , , ,2016-12-31,113801104
8,34468,113801104,신사근린공원,신사동구간, ,0.24,쉬움,4,3,흙길, , , , ,2016-12-31,113801104
9,34469,113801104,신사근린공원,신사동구간,경작지,0.09,쉬움,2,1,흙길, , , , ,2016-12-31,113801104
10,34470,113801104,신사근린공원,신사동구간, ,0.07,쉬움,1,1,흙길, , , , ,2016-12-31,113801104
11,34471,113801104,신사근린공원,신사동구간, ,0.09,쉬움,2,1,흙길, , , , ,2016-12-31,113801104
12,34472,113801104,신사근린공원,신사동구간, ,0.11,쉬움,2,1,흙길, , , , ,2016-12-31,113801104
13,34473,113801104,신사근린공원,신사동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
14,34474,113801104,신사근린공원,신사동구간,꽃그늘쉼터,0.09,쉬움,2,1,흙길, , , , ,2016-12-31,113801104
15,34475,113801104,신사근린공원,신사동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
16,34476,113801104,신사근린공원,신사동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
17,34477,113801104,신사근린공원,신사동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113801104
18,34478,113801104,신사근린공원,신사동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
19,34479,113801104,신사근린공원,신사동구간,하늘아래쉼터,0.13,쉬움,2,2,흙길, , , , ,2016-12-31,113801104
20,34480,113801104,신사근린공원,신사동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113801104
21,34481,113801104,신사근린공원,신사동구간, ,0.04,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
22,34482,113801104,신사근린공원,신사동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113801104
23,34483,113801104,신사근린공원,신사동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
24,34484,113801104,신사근린공원,신사동구간, ,0.01,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
25,34485,113801104,신사근린공원,신사동구간, ,0.08,쉬움,1,1,흙길, , , , ,2016-12-31,113801104
26,34486,113801104,신사근린공원,신사동구간, ,0.0,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
27,34487,113801104,신사근린공원,신사동구간, ,0.09,쉬움,2,1,흙길, , , , ,2016-12-31,113801104
28,34488,113801104,신사근린공원,신사동구간,자연학습장,0.04,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
29,34489,113801104,신사근린공원,신사동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
30,34490,113801104,신사근린공원,신사동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113801104
31,34491,113801104,신사근린공원,신사동구간, ,0.04,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
32,34492,113801104,신사근린공원,신사동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113801104
33,34493,113801104,신사근린공원,신사동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
34,34494,113801104,신사근린공원,신사동구간, ,0.07,쉬움,1,1,흙길, , , , ,2016-12-31,113801104
35,34495,113801104,신사근린공원,신사동구간, ,0.1,쉬움,2,1,흙길, , , , ,2016-12-31,113801104
36,34496,113801104,신사근린공원,신사동구간, ,0.15,쉬움,3,2,흙길, , , , ,2016-12-31,113801104
37,34497,113801104,신사근린공원,신사동구간, ,0.01,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
38,34498,113801104,신사근린공원,신사동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113801104
39,34499,113801104,신사근린공원,신사동구간, ,0.21,쉬움,4,3,흙길, , , , ,2016-12-31,113801104
40,34500,113801104,신사근린공원,신사동구간, ,0.07,쉬움,1,1,흙길, , , , ,2016-12-31,113801104
41,34501,113801104,신사근린공원,신사동구간, ,0.11,쉬움,2,1,흙길, , , , ,2016-12-31,113801104
42,34502,113801104,신사근린공원,신사동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113801104
43,34503,113801104,신사근린공원,신사동구간, ,0.03,쉬움,1,0,흙길, , , , ,2016-12-31,113801104
