FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,34878,441506801,십리봉,대학리구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,441506801
1,34879,441506801,십리봉,대학리구간, ,0.94,쉬움,17,12, , , , , ,2016-12-31,441506801
2,34880,441506801,십리봉,견동리구간, ,1.67,쉬움,36,25, , , , , ,2016-12-31,441506801
3,34881,441506801,십리봉,대학리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,441506801
4,34882,441506801,십리봉,대학리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,441506801
5,34883,441506801,십리봉,대학리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,441506801
6,34884,441506801,십리봉,대학리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,441506801
7,34885,441506801,십리봉,대학리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,441506801
8,34886,441506801,십리봉,대학리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,441506801
9,34887,441506801,십리봉,대학리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,441506801
