FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,34889,113200104,쌍문동공원,방학동구간, ,0.72,쉬움,13,9, , , , , ,2016-12-31,113200104
1,34890,113200104,쌍문동공원,쌍문동구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,113200104
2,34891,113200104,쌍문동공원,쌍문동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,113200104
3,34892,113200104,쌍문동공원,쌍문동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,113200104
4,34893,113200104,쌍문동공원,쌍문동구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,113200104
5,34894,113200104,쌍문동공원,쌍문동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,113200104
6,34895,113200104,쌍문동공원,쌍문동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,113200104
7,34896,113200104,쌍문동공원,쌍문동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,113200104
8,34897,113200104,쌍문동공원,쌍문동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,113200104
9,34898,113200104,쌍문동공원,쌍문동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,113200104
10,34899,113200104,쌍문동공원,쌍문동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,113200104
11,34900,113200104,쌍문동공원,쌍문동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,113200104
12,34901,113200104,쌍문동공원,도봉동구간, ,7.9,쉬움,139,98, , , , , ,2016-12-31,113200104
13,34902,113200104,쌍문동공원,방학동구간, ,1.64,쉬움,29,20, , , , , ,2016-12-31,113200104
14,34903,113200104,쌍문동공원,쌍문동구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,113200104
15,34904,113200104,쌍문동공원,방학동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,113200104
16,34905,113200104,쌍문동공원,쌍문동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,113200104
17,34906,113200104,쌍문동공원,쌍문동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,113200104
18,34907,113200104,쌍문동공원,쌍문동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,113200104
19,34908,113200104,쌍문동공원,쌍문동구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,113200104
20,34909,113200104,쌍문동공원,방학동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,113200104
21,34910,113200104,쌍문동공원,쌍문동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,113200104
