FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,36609,421105804,애막골,거두리구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,421103501
1,36610,421105804,애막골, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,421103501
2,36611,421105804,애막골, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,421103501
3,36612,421105804,애막골,석사동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,421103501
4,36613,421105804,애막골,석사동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,421103501
5,36614,421105804,애막골,석사동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,421103501
6,36615,421105804,애막골,거두리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,421103501
7,36616,421105804,애막골, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,421103501
8,36617,421105804,애막골, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,421103501
9,36618,421105804,애막골,석사동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,421103501
10,36619,421105804,애막골, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,421103501
11,36620,421105804,애막골, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,421103501
12,36621,421105804,애막골, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,421103501
13,36622,421105804,애막골, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,421103501
14,36623,421105804,애막골, , ,0.05,쉬움,1,1, , ,Y, , ,2016-12-31,421103501
15,36624,421105804,애막골, , ,0.02,쉬움,1,0, , ,Y, , ,2016-12-31,421103501
16,36625,421105804,애막골, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,421103501
17,36626,421105804,애막골,거두리구간, ,0.41,쉬움,7,5, , ,Y, , ,2016-12-31,421103501
18,36627,421105804,애막골, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,421103501
19,36628,421105804,애막골, , ,0.25,쉬움,4,3, , ,Y, , ,2016-12-31,421103501
20,36629,421105804,애막골, , ,0.25,쉬움,4,3, , ,Y, , ,2016-12-31,421103501
21,36630,421105804,애막골, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,421103501
22,36631,421105804,애막골,석사동구간, ,0.03,쉬움,1,0, , ,Y, , ,2016-12-31,421103501
23,36632,421105804,애막골, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,421103501
24,36633,421105804,애막골,거두리구간, ,0.32,쉬움,6,4, , ,Y, , ,2016-12-31,421103501
25,36634,421105804,애막골, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,421103501
26,36635,421105804,애막골,거두리구간, ,0.35,쉬움,6,4, , ,Y, , ,2016-12-31,421103501
27,36636,421105804,애막골, , ,0.0,쉬움,1,0, , , , , ,2016-12-31,421103501
28,36637,421105804,애막골,만천리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,421103501
29,36638,421105804,애막골, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,421103501
30,36639,421105804,애막골, , ,0.29,쉬움,5,4, , ,Y, , ,2016-12-31,421103501
31,36640,421105804,애막골, , ,0.2,쉬움,4,2, , ,Y, , ,2016-12-31,421103501
32,36641,421105804,애막골, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,421103501
33,36642,421105804,애막골,석사동구간, ,0.06,쉬움,1,1, , ,Y, , ,2016-12-31,421103501
34,36643,421105804,애막골, , ,0.34,쉬움,6,4, , ,Y, , ,2016-12-31,421103501
35,36644,421105804,애막골, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,421103501
36,36645,421105804,애막골, , ,0.11,쉬움,2,1, , ,Y, , ,2016-12-31,421103501
37,36646,421105804,애막골,석사동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,421103501
38,36647,421105804,애막골,거두리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,421103501
39,36648,421105804,애막골,만천리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,421103501
40,36649,421105804,애막골, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,421103501
41,36650,421105804,애막골, , ,0.0,쉬움,1,0, , , , , ,2016-12-31,421103501
42,36651,421105804,애막골, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,421103501
43,36652,421105804,애막골,만천리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,421103501
44,36653,421105804,애막골, , ,0.1,쉬움,2,1, , ,Y, , ,2016-12-31,421103501
45,36654,421105804,애막골, , ,0.12,쉬움,2,1, , ,Y, , ,2016-12-31,421103501
46,36655,421105804,애막골,석사동구간, ,0.03,쉬움,1,0, , ,Y, , ,2016-12-31,421103501
47,36656,421105804,애막골, , ,0.07,쉬움,1,1, , ,Y, , ,2016-12-31,421103501
48,36657,421105804,애막골, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,421103501
49,36658,421105804,애막골, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,421103501
50,36659,421105804,애막골, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,421103501
