FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,37996,483301201,염수봉,대리구간, ,1.47,쉬움,26,18, , , , , ,2016-12-31,483301201
1,37997,483301201,염수봉, , ,5.3,쉬움,94,65, , , , , ,2016-12-31,483301201
2,37998,483301201,염수봉,내석리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,483301201
3,37999,483301201,염수봉,내석리구간, ,1.79,쉬움,32,22, , , , , ,2016-12-31,483301201
4,38000,483301201,염수봉,대리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,483301201
5,38001,483301201,염수봉,내석리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,483301201
6,38002,483301201,염수봉,선리구간, ,2.47,쉬움,44,31, , , , , ,2016-12-31,2810150600
7,38003,483301201,염수봉,대리구간, ,0.86,쉬움,15,11, , , , , ,2016-12-31,2810150600
8,38004,483301201,염수봉,대리구간, ,0.89,쉬움,16,11, , , , , ,2016-12-31,2810150600
9,38005,483301201,염수봉, , ,1.03,쉬움,18,13, , , , , ,2016-12-31,2810150600
10,38006,483301201,염수봉, , ,2.99,쉬움,53,37, , , , , ,2016-12-31,2810150600
11,38007,483301201,염수봉, , ,4.6,쉬움,81,57, , , , , ,2016-12-31,2810150600
12,38008,483301201,염수봉,선리구간, ,2.64,쉬움,47,33, , , , , ,2016-12-31,2810150600
13,38009,483301201,염수봉, , ,4.26,쉬움,75,53, , , , , ,2016-12-31,2810150600
14,38010,483301201,염수봉, , ,2.59,쉬움,46,32, , , , , ,2016-12-31,2810150600
15,38011,483301201,염수봉, , ,2.72,쉬움,48,34, , , , , ,2016-12-31,2810150600
16,38012,483301201,염수봉,내석리구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,2810150600
17,38013,483301201,염수봉, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2810150600
18,38014,483301201,염수봉, , ,0.47,쉬움,8,6, , , , , ,2016-12-31,2810150600
19,38015,483301201,염수봉, , ,3.88,쉬움,68,48, , , , , ,2016-12-31,2810150600
20,38016,483301201,염수봉, , ,0.72,쉬움,13,9, , , , , ,2016-12-31,2810150600
21,38017,483301201,염수봉, , ,0.83,쉬움,15,10, , , , , ,2016-12-31,2810150600
22,38018,483301201,염수봉, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,2810150600
23,38019,483301201,염수봉, , ,1.07,쉬움,19,13, , , , , ,2016-12-31,2810150600
24,38020,483301201,염수봉, , ,1.12,쉬움,20,14, , , , , ,2016-12-31,2810150600
25,38021,483301201,염수봉, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,2810150600
26,38022,483301201,염수봉, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2810150600
27,38023,483301201,염수봉, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2810150600
28,38024,483301201,염수봉, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,2810150600
29,38025,483301201,염수봉, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2810150600
30,38026,483301201,염수봉, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,2810150600
31,38027,483301201,염수봉,내석리구간, ,2.2,쉬움,39,27, , , , , ,2016-12-31,483301201
32,38028,483301201,염수봉, , ,0.8,쉬움,14,10, , , , , ,2016-12-31,2810150600
33,38029,483301201,염수봉, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2810150600
34,38030,483301201,염수봉,내석리구간, ,1.51,쉬움,27,19, , , , , ,2016-12-31,483301201
35,38031,483301201,염수봉, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2810150600
