FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,40458,482703501,용암봉, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,2807153100
1,40459,482703501,용암봉,용전리구간, ,3.02,쉬움,53,37, , , , , ,2016-12-31,2807153100
2,40460,482703501,용암봉,용전리구간, ,3.27,쉬움,123,86, , , , , ,2016-12-31,2807153100
3,40461,482703501,용암봉, , ,1.39,쉬움,25,17, , , , , ,2016-12-31,2807153100
4,40462,482703501,용암봉, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2807153100
5,40463,482703501,용암봉,신곡리구간, ,2.67,쉬움,47,33, , , , , ,2016-12-31,2807153100
6,40464,482703501,용암봉,도곡리구간, ,1.75,쉬움,53,37, , , , , ,2016-12-31,2807153100
7,40465,482703501,용암봉,희곡리구간, ,0.86,쉬움,15,11, , , , , ,2016-12-31,2807153100
8,40466,482703501,용암봉, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2807153100
9,40467,482703501,용암봉, , ,2.86,쉬움,50,35, , , , , ,2016-12-31,2807153100
10,40468,482703501,용암봉, , ,1.96,쉬움,35,24, , , , , ,2016-12-31,2807153100
11,40469,482703501,용암봉, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,2807153100
12,40470,482703501,용암봉,신곡리구간, ,1.84,쉬움,69,48, , , , , ,2016-12-31,2807153100
13,40471,482703501,용암봉, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,2807153100
14,40472,482703501,용암봉,용전리구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,2807153100
15,40473,482703501,용암봉, , ,1.04,쉬움,18,13, , , , , ,2016-12-31,2807153100
16,40474,482703501,용암봉,용전리구간, ,1.47,쉬움,26,18, , , , , ,2016-12-31,2807153100
17,40475,482703501,용암봉,신곡리구간, ,2.61,쉬움,98,69, , , , , ,2016-12-31,2807153100
