FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,41721,488604601,웅석봉,홍계리구간, ,3.22,쉬움,57,40, , , , , ,2016-12-31,2809034300
1,41722,488604601,웅석봉,내리구간, ,1.9,쉬움,34,23, , , , , ,2016-12-31,2809034300
2,41723,488604601,웅석봉,내리구간, ,2.49,쉬움,44,31, , , , , ,2016-12-31,2809034300
3,41724,488604601,웅석봉,청계리구간, ,0.87,쉬움,15,11, , , , , ,2016-12-31,2809034300
4,41725,488604601,웅석봉,홍계리구간, ,2.08,쉬움,39,27, , , , , ,2016-12-31,2809034300
5,41726,488604601,웅석봉,홍계리구간, ,2.02,쉬움,36,25, , , , , ,2016-12-31,2809034300
6,41727,488604601,웅석봉,백운리구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,2809034300
7,41728,488604601,웅석봉, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2809034300
8,41729,488604601,웅석봉, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2809034300
9,41730,488604601,웅석봉, , ,3.48,쉬움,131,91, , , , , ,2016-12-31,2809034300
10,41731,488604601,웅석봉, , ,3.92,쉬움,147,103, , , , , ,2016-12-31,2809034300
11,41732,488604601,웅석봉, , ,3.3,쉬움,58,41, , , , , ,2016-12-31,2809034300
12,41733,488604601,웅석봉, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2809034300
13,41734,488604601,웅석봉, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,2809034300
14,41735,488604601,웅석봉, , ,1.52,쉬움,27,19, , , , , ,2016-12-31,2809034300
15,41736,488604601,웅석봉, , ,2.13,쉬움,38,26, , , , , ,2016-12-31,2809034300
16,41737,488604601,웅석봉, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2809034300
17,41738,488604601,웅석봉, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2809034300
18,41739,488604601,웅석봉, , ,1.47,쉬움,26,18, , , , , ,2016-12-31,2809034300
19,41740,488604601,웅석봉, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,2809034300
20,41741,488604601,웅석봉, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,2809034300
21,41742,488604601,웅석봉, , ,5.78,쉬움,102,71, , , , , ,2016-12-31,2809034300
22,41743,488604601,웅석봉, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,2809034300
23,41744,488604601,웅석봉, , ,0.72,쉬움,13,9, , , , , ,2016-12-31,2809034300
24,41745,488604601,웅석봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2809034300
25,41746,488604601,웅석봉, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2809034300
26,41747,488604601,웅석봉, , ,6.89,쉬움,258,181, , , , , ,2016-12-31,2809034300
27,41748,488604601,웅석봉, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,2809034300
28,41749,488604601,웅석봉, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2809034300
29,41750,488604601,웅석봉, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2809034300
30,41751,488604601,웅석봉, , ,9.83,쉬움,173,121, , , , , ,2016-12-31,2809034300
31,41752,488604601,웅석봉, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2809034300
32,41753,488604601,웅석봉, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2809034300
33,41754,488604601,웅석봉, , ,1.36,쉬움,24,17, , , , , ,2016-12-31,2809034300
34,41755,488604601,웅석봉, , ,0.94,쉬움,17,12, , , , , ,2016-12-31,2809034300
35,41756,488604601,웅석봉, , ,1.03,쉬움,18,13, , , , , ,2016-12-31,2809034300
