FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,41763,428106201,원대봉, , ,7.9,쉬움,139,98, , , , , ,2016-12-31,428103801
1,41764,428106201,원대봉, , ,3.01,쉬움,53,37, , , , , ,2016-12-31,428103801
2,41765,428106201,원대봉,원대리구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,428103801
3,41766,428106201,원대봉,원대리구간, ,3.06,쉬움,54,38, , , , , ,2016-12-31,428103801
4,41767,428106201,원대봉,원대리구간, ,3.21,쉬움,120,84, , , , , ,2016-12-31,428103801
5,41768,428106201,원대봉, , ,1.69,쉬움,30,21, , , , , ,2016-12-31,428103801
6,41769,428106201,원대봉,원대리구간, ,2.29,쉬움,40,28, , , , , ,2016-12-31,428103801
7,41770,428106201,원대봉, , ,5.2,쉬움,92,64, , , , , ,2016-12-31,428103801
8,41771,428106201,원대봉, , ,1.85,쉬움,33,23, , , , , ,2016-12-31,428103801
9,41772,428106201,원대봉,원대리구간, ,1.42,쉬움,25,18, , , , , ,2016-12-31,428103801
10,41773,428106201,원대봉, , ,4.58,쉬움,81,57, , , , , ,2016-12-31,428103801
11,41774,428106201,원대봉, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,428103801
12,41775,428106201,원대봉, , ,2.78,쉬움,49,34, , , , , ,2016-12-31,428103801
13,41776,428106201,원대봉,원대리구간, ,3.86,쉬움,68,48, , , , , ,2016-12-31,428103801
14,41777,428106201,원대봉, , ,2.18,쉬움,38,27, , , , , ,2016-12-31,428103801
15,41778,428106201,원대봉,원대리구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,428103801
