FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,42162,481100203,원전벌바위둘레길,심리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,481100203
1,42163,481100203,원전벌바위둘레길,심리구간, ,2.02,쉬움,36,25, , , , , ,2016-12-31,481100203
2,42164,481100203,원전벌바위둘레길,심리구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,481100203
3,42165,481100203,원전벌바위둘레길,심리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,481100203
4,42166,481100203,원전벌바위둘레길,심리구간, ,1.55,쉬움,27,19, , , , , ,2016-12-31,481100203
5,42167,481100203,원전벌바위둘레길,심리구간, ,1.17,쉬움,21,14, , , , , ,2016-12-31,481100203
6,42168,481100203,원전벌바위둘레길,심리구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,481100203
7,42169,481100203,원전벌바위둘레길,심리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,481100203
8,42170,481100203,원전벌바위둘레길,심리구간, ,0.87,쉬움,15,11, , , , , ,2016-12-31,481100203
9,42171,481100203,원전벌바위둘레길,심리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,481100203
10,42172,481100203,원전벌바위둘레길,심리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,481100203
