FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,42189,291701901,원효봉,금곡동구간, ,2.12,쉬움,53,37, , , , , ,2016-12-31,291701901
1,42190,291701901,원효봉,금곡동구간, ,2.05,쉬움,36,25, , , , , ,2016-12-31,291701901
2,42191,291701901,원효봉,금곡동구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,291701901
3,42192,291701901,원효봉,금곡동구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,291701901
4,42193,291701901,원효봉,금곡동구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,291701901
5,42194,291701901,원효봉,금곡동구간, ,0.96,쉬움,17,12, , , , , ,2016-12-31,291701901
6,42195,291701901,원효봉,금곡동구간, ,2.06,쉬움,44,31, , , , , ,2016-12-31,291701901
7,42196,291701901,원효봉,금곡동구간, ,1.14,쉬움,20,14, , , , , ,2016-12-31,291701901
8,42197,291701901,원효봉,금곡동구간, ,0.96,쉬움,17,12, , , , , ,2016-12-31,291701901
9,42198,291701901,원효봉,금곡동구간, ,1.66,쉬움,29,21, , , , , ,2016-12-31,291701901
10,42199,291701901,원효봉,금곡동구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,291701901
11,42200,291701901,원효봉,금곡동구간, ,1.17,쉬움,21,14, , , , , ,2016-12-31,291701901
