FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,43717,262900804,이기대도시자연공원,용호동구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,262900804
1,43718,262900804,이기대도시자연공원,용호동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,262900804
2,43719,262900804,이기대도시자연공원,용호동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,262900804
3,43720,262900804,이기대도시자연공원,용호동구간, ,0.05,중간,1,1, , , , , ,2016-12-31,262900804
4,43721,262900804,이기대도시자연공원,용호동구간, ,2.31,쉬움,41,29, , , , , ,2016-12-31,262900804
5,43722,262900804,이기대도시자연공원,용호동구간, ,0.94,쉬움,17,12, , , , , ,2016-12-31,262900804
6,43723,262900804,이기대도시자연공원,용호동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,262900804
7,43724,262900804,이기대도시자연공원,용호동구간,백련사,0.16,쉬움,3,2, , , , , ,2016-12-31,262900804
8,43725,262900804,이기대도시자연공원,용호동구간, ,0.13,중간,2,2, , , , , ,2016-12-31,262900804
9,43726,262900804,이기대도시자연공원,용호동구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,262900804
10,43727,262900804,이기대도시자연공원,용호동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,262900804
11,43728,262900804,이기대도시자연공원,용호동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,262900804
12,43729,262900804,이기대도시자연공원,용호동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,262900804
13,43730,262900804,이기대도시자연공원,용호동구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,262900804
14,43731,262900804,이기대도시자연공원,용호동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,262900804
15,43732,262900804,이기대도시자연공원,용호동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,262900804
16,43733,262900804,이기대도시자연공원,용호동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,262900804
17,43734,262900804,이기대도시자연공원,용호동구간, ,0.65,쉬움,11,8, , , , , ,2016-12-31,262900804
18,43735,262900804,이기대도시자연공원,용호동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,262900804
19,43736,262900804,이기대도시자연공원,용호동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,262900804
20,43737,262900804,이기대도시자연공원,용호동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,262900804
21,43738,262900804,이기대도시자연공원,용호동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,262900804
22,43739,262900804,이기대도시자연공원,용호동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,262900804
23,43740,262900804,이기대도시자연공원,용호동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,262900804
24,43741,262900804,이기대도시자연공원,용호동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,262900804
25,43742,262900804,이기대도시자연공원,용호동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,262900804
26,43743,262900804,이기대도시자연공원,용호동구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,262900804
27,43744,262900804,이기대도시자연공원,용호동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,262900804
28,43745,262900804,이기대도시자연공원,용호동구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,262900804
29,43746,262900804,이기대도시자연공원,용호동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,262900804
30,43747,262900804,이기대도시자연공원,용호동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,262900804
31,43748,262900804,이기대도시자연공원,용호동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,262900804
32,43749,262900804,이기대도시자연공원,용호동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,262900804
33,43750,262900804,이기대도시자연공원,용호동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,262900804
34,43751,262900804,이기대도시자연공원,용호동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,262900804
