FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,46318,471104604,제철동,장흥동구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,471110901
1,46319,471104604,제철동, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,471110901
2,46320,471104604,제철동, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,471110901
3,46321,471104604,제철동,호동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,471110901
4,46322,471104604,제철동,호동구간, ,0.85,쉬움,15,11, , , , , ,2016-12-31,471110901
5,46323,471104604,제철동, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,471110901
6,46324,471104604,제철동,원리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,471110901
7,46325,471104604,제철동, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,471110901
8,46326,471104604,제철동, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,471110901
9,46327,471104604,제철동,인덕동구간, ,1.27,쉬움,22,16, , , , , ,2016-12-31,471110901
