FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,47505,113801304,진관근린공원,진관동구간,서어나무군락지,0.36,쉬움,6,4,흙길, , , , ,2016-12-31,113801304
1,47506,113801304,진관근린공원,진관동구간, ,0.1,쉬움,2,1,흙길, , , , ,2016-12-31,113801304
2,47507,113801304,진관근린공원,진관동구간, ,0.3,쉬움,5,4,흙길, , , , ,2016-12-31,113801304
3,47508,113801304,진관근린공원,진관동구간, ,0.25,쉬움,4,3,흙길, , , , ,2016-12-31,113801304
4,47509,113801304,진관근린공원,진관동구간, ,0.03,쉬움,1,0,흙길, , , , ,2016-12-31,113801304
5,47510,113801304,진관근린공원,진관동구간, ,0.14,쉬움,2,2,흙길, , , , ,2016-12-31,113801304
6,47511,113801304,진관근린공원,진관동구간, ,0.39,쉬움,7,5,흙길, , , , ,2016-12-31,113801304
7,47512,113801304,진관근린공원,진관동구간, ,0.68,쉬움,12,8,흙길, , , , ,2016-12-31,113801304
8,47513,113801304,진관근린공원,진관동구간,층층나무,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113801304
9,47514,113801304,진관근린공원,진관동구간,약수사,0.5,쉬움,9,6,흙길, , , , ,2016-12-31,113801304
10,47515,113801304,진관근린공원,진관동구간,긴병꽃풀군락,0.3,쉬움,5,4,흙길, , , , ,2016-12-31,113801304
11,47516,113801304,진관근린공원,진관동구간, ,0.03,쉬움,1,0,흙길, , , , ,2016-12-31,113801304
12,47517,113801304,진관근린공원,진관동구간, ,0.15,쉬움,3,2,흙길, , , , ,2016-12-31,113801304
13,47518,113801304,진관근린공원,진관동구간, ,0.09,중간,2,1,흙길, , , , ,2016-12-31,113801304
14,47519,113801304,진관근린공원,진관동구간, ,0.16,쉬움,3,2,흙길, , , , ,2016-12-31,113801304
15,47520,113801304,진관근린공원,진관동구간, ,0.11,쉬움,2,1,흙길, , , , ,2016-12-31,113801304
16,47521,113801304,진관근린공원,진관동구간, ,0.16,쉬움,3,2,흙길, , , , ,2016-12-31,113801304
17,47522,113801304,진관근린공원,진관동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113801304
18,47523,113801304,진관근린공원,진관동구간, ,0.19,쉬움,3,2,흙길, , , , ,2016-12-31,113801304
19,47524,113801304,진관근린공원,진관동구간, ,0.15,쉬움,3,2,흙길, , , , ,2016-12-31,113801304
20,47525,113801304,진관근린공원,진관동구간, ,0.25,쉬움,4,3,흙길, , , , ,2016-12-31,113801304
21,47526,113801304,진관근린공원,진관동구간, ,0.27,쉬움,5,3,흙길, , , , ,2016-12-31,113801304
22,47527,113801304,진관근린공원,진관동구간, ,0.26,쉬움,5,3,흙길, , , , ,2016-12-31,113801304
23,47528,113801304,진관근린공원,진관동구간, ,0.35,쉬움,6,4,흙길, , , , ,2016-12-31,113801304
24,47529,113801304,진관근린공원,진관동구간, ,0.23,쉬움,4,3,흙길, , , , ,2016-12-31,113801304
25,47530,113801304,진관근린공원,진관동구간,이만산약수터,0.03,쉬움,1,0,흙길, , , , ,2016-12-31,113801304
26,47531,113801304,진관근린공원,진관동구간, ,0.08,쉬움,1,1,흙길, , , , ,2016-12-31,113801304
27,47532,113801304,진관근린공원,진관동구간, ,0.18,쉬움,3,2,흙길, , , , ,2016-12-31,113801304
28,47533,113801304,진관근린공원,진관동구간,군사격장,0.97,쉬움,17,12,흙길, , , , ,2016-12-31,113801304
29,47534,113801304,진관근린공원,진관동구간, ,0.34,쉬움,6,4,흙길, , , , ,2016-12-31,113801304
30,47535,113801304,진관근린공원,진관동구간, ,0.22,쉬움,4,3,흙길, , , , ,2016-12-31,113801304
31,47536,113801304,진관근린공원,진관동구간, ,0.12,쉬움,2,1,흙길, , , , ,2016-12-31,113801304
32,47537,113801304,진관근린공원,진관동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113801304
33,47538,113801304,진관근린공원,진관동구간, ,0.15,쉬움,3,2,흙길, , , , ,2016-12-31,113801304
34,47539,113801304,진관근린공원,진관동구간, ,0.04,쉬움,1,0,흙길, , , , ,2016-12-31,113801304
35,47540,113801304,진관근린공원,진관동구간, ,0.12,쉬움,2,1,흙길, , , , ,2016-12-31,113801304
36,47541,113801304,진관근린공원,진관동구간, ,0.06,중간,1,1,흙길, , , , ,2016-12-31,113801304
37,47542,113801304,진관근린공원,진관동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113801304
38,47543,113801304,진관근린공원,진관동구간,매자나무/물봉선군락,0.11,쉬움,2,1,흙길, , , , ,2016-12-31,113801304
39,47544,113801304,진관근린공원,진관동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113801304
40,47545,113801304,진관근린공원,진관동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113801304
41,47546,113801304,진관근린공원,진관동구간, ,0.04,쉬움,1,0,흙길, , , , ,2016-12-31,113801304
42,47547,113801304,진관근린공원,진관동구간, ,0.07,쉬움,1,1,흙길, , , , ,2016-12-31,113801304
43,47548,113801304,진관근린공원,진관동구간,군용시설,0.1,쉬움,2,1,흙길, , , , ,2016-12-31,113801304
44,47549,113801304,진관근린공원,진관동구간,군용시설,0.09,쉬움,2,1,흙길, , , , ,2016-12-31,113801304
