FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,50999,421500404,취연정,교동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,421506101
1,51000,421500404,취연정,교동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,421506101
2,51001,421500404,취연정,교동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,421506101
3,51002,421500404,취연정, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,421506101
4,51003,421500404,취연정, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,421506101
5,51004,421500404,취연정, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,421506101
6,51005,421500404,취연정, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,421506101
7,51006,421500404,취연정,교동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,421506101
8,51007,421500404,취연정,교동구간, ,0.03,중간,1,0, , , , , ,2016-12-31,421506101
9,51008,421500404,취연정, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,421506101
