FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,54235,437202801,형제봉,만수리구간, ,1.42,쉬움,36,25, , , , , ,2016-12-31,437202801
1,54236,437202801,형제봉,만수리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,437202801
2,54237,437202801,형제봉,상오리구간, ,0.61,쉬움,11,8, , , , , ,2016-12-31,437202801
3,54238,437202801,형제봉,상오리구간, ,1.13,쉬움,20,14, , , , , ,2016-12-31,437202801
4,54239,437202801,형제봉,상오리구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,437202801
5,54240,437202801,형제봉,만수리구간, ,2.46,쉬움,43,30, , , , , ,2016-12-31,437202801
6,54241,437202801,형제봉,만수리구간, ,1.44,중간,54,38, , , , , ,2016-12-31,437202801
7,54242,437202801,형제봉,동관리구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,437202801
8,54243,437202801,형제봉,동관리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,437202801
9,54244,437202801,형제봉,동관리구간, ,1.18,쉬움,21,15, , , , , ,2016-12-31,437202801
10,54245,437202801,형제봉,만수리구간, ,1.99,쉬움,75,52, , , , , ,2016-12-31,437202801
11,54246,437202801,형제봉,동관리구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,437202801
12,54247,437202801,형제봉,동관리구간, ,2.86,쉬움,50,35, , , , , ,2016-12-31,437202801
